Brand,Model,Product Website,Available,Pool Pump Type,Input Power,Current,Star Rating Index,Star Rating,Weighted Energy Factor,Daily Run Time,Projected Annual Energy Consumption (KWh/year),Date Available Until,Star Image Large,Star Image Small
Lacron,Maxi Grange 1.0 HP,,"Australia,Fiji,New Zealand",Single speed,874.0,3.8,1.53,1.5,15.885,3.6263,1148.9,2027-09-12,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.png
Lacron,Maxi Grange 1.5 HP,,"Australia,Fiji,New Zealand",Single speed,1307.0,5.4,1.36,1.0,13.337,3.0933,1368.4,2027-09-12,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.png
Evolution,Evoflow Stream 0.75HP,,"Australia,Fiji,New Zealand",Single speed,626.0,2.8,1.58,1.5,17.768,4.9368,1027.1,2027-09-12,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.png
Evolution,Evoflow Stream 1.0HP,,"Australia,Fiji,New Zealand",Single speed,793.0,3.5,1.5,1.5,16.255,4.085,1122.7,2027-09-12,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.png
Evolution,Evoflow Stream 1.5HP,,"Australia,Fiji,New Zealand",Single speed,1056.0,4.8,1.34,1.0,14.313,3.5251,1275.1,2027-09-12,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.png
Evolution,Evoflow Storm 1.5HP,,"Australia,Fiji,New Zealand",Single speed,1310.0,6.1,1.37,1.0,13.337,3.0933,1368.4,2027-09-12,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.png
Evolution,Evoflow Storm 2.0HP,,"Australia,Fiji,New Zealand",Single speed,1425.0,6.1,1.25,1.0,12.594,2.954,1449.1,2027-09-12,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.png
Evolution,Evoflow Tuf 1.0HP MK2,,"Australia,Fiji,New Zealand",Single speed,841.0,3.7,1.8,1.5,17.087,3.742,1068.1,2027-09-12,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.png
Evolution,Evoflow Tuf 1.5HP MK2,,"Australia,Fiji,New Zealand",Single speed,1084.0,4.8,1.68,1.5,15.291,3.3029,1193.5,2027-09-12,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.png
Evolution,Evoflow Tuf 2.0HP MK2,,"Australia,Fiji,New Zealand",Single speed,1500.0,6.6,1.59,1.5,13.327,3.0182,1369.4,2027-09-12,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.png
RELTECH,V8PRO,,"Australia,Fiji,New Zealand",Variable speed,1850.0,8.5,6.58,6.0,37.297,5.6612,489.31,2027-10-01,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_6_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_6_Star.png
