Accepted Product ID,Product Type,Method(s),Activity Definition,Brand,Model Number,Driver Brand (if declared article),Driver Model Number (if declared article),Lifetime in hours (if applicable) 	,Strip light length in meters (if applicable) ,Light output (lm) (if applicable) ,Accepted LCP/NLP Value,AS/NZS4234 version,Zone 3 System Size,Zone 3 Peak Load (MJ/day) ,Zone 3 Annual Energy Savings %,Zone 3 Bs (GJ/year) ,Zone 3 Be (GJ/year),Zone 3 HPelec (GJ/year),Zone 3 HPgas (GJ/year),Zone 3 RefElec (GJ/year),Zone 5 System Size ,Zone 5 Peak Load (MJ/day) ,Zone 5 Annual Energy Savings % ,Zone 5 Bs (GJ/year) ,Zone 5 Be (GJ/year),Zone 5 HPelec (GJ/year),Zone 5 HPgas (GJ/year),Zone 5 RefElec (GJ/year),No. of hot water tank(s) ,Tank Model Number ,Tank Size (L) ,Pre-heat tank model number(s),Finishing tank model number(s) ,Pre-heat tank volume (L) ,Finishing tank volume (L) ,Total system tank volume (L) ,Collector Type,Collector Model Number,No. of collectors,No. of  heat pump(s),Heat pump unit model number(s) ,Total heat pump thermal capacity (kW) ,System booster type ,Booster model number(s) ,Total thermal capacity (kW),System Type,Refrigerant type (GWP),Refrigerant charge (kg),AS/NZS 2712 Certificate Expiry,Limitations,Effective From,Effective To,Status
ACC0019961,LED Luminaires - Linear Lamp,Commercial Lighting,,Xtreme LED,XPL-1200300-18WS,,,,,,17.24,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2021-04-19,,Active
ACC0019965,LED Luminaires - High/Low Bay,Commercial Lighting,,Xtreme LED,ZHB75W-S,,,,,,75.74,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2022-08-17,,Active
ACC0019966,LED Luminaires - High/Low Bay,Commercial Lighting,,Xtreme LED,H90W-S,,,,,,87.24,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2021-03-25,,Active
ACC0023761,LED Luminaires - High/Low Bay,Commercial Lighting,,Xtreme LED,120W-XSERIES-HB,,,,,,118.5,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2017-11-17,,Active
ACC0019962,LED Luminaires - Linear Lamp,Commercial Lighting,,Xtreme LED,XPL-1200300-24W,,,,,,23.02,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2021-04-19,,Active
ACC0023680,LED Luminaires - High/Low Bay,Commercial Lighting,,Xtreme LED,WH-100W,,,,,,99.8,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2017-11-17,,Active
ACC0023467,LED Luminaires - Floodlight,Commercial Lighting,,Xtreme LED,XT-FL-50W,,,,,,50.51,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2017-11-17,,Active
ACC0023952,LED Luminaires - High/Low Bay,Commercial Lighting,,Xtreme LED,150W-RAPTOR-HB,,,,,,153.5,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2017-11-17,,Active
ACC0019970,LED Luminaires - High/Low Bay,Commercial Lighting,,Xtreme LED,H150W-S,,,,,,145.7,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2021-03-25,,Active
ACC0024826,LED Luminaires - Linear Lamp,HEER,E13,Xtreme LED,XPL-600300-10WS,,,,,,9.34,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2021-04-19,,Active
